ReferenceID,Block,Lot,BuildingAddress,NoticeDate,Neighborhood,PoliceDistrict,CouncilDistrict,Location,Zip Codes,2010 Census Neighborhoods,2010 Census Wards Precincts
7139 070 051816,7139,070,3744 10TH ST,05/18/2016,Brooklyn,Southern,10,"(39.2324675, -76.59702441)",27937,26,132
1622 035 091218,1622,035,717 N COLLINGTON AVE,09/12/2018,Middle East,Eastern,13,"(39.29933227, -76.58644585)",13987,152,125
2255 032A 050509,2255,032A,44 S MORLEY ST,05/05/2009,Saint Josephs,Southwestern,8,"(39.28583885, -76.6753297)",27950,167,74
7133 014 031919,7133,014,4106 AUDREY AVE,03/19/2019,Brooklyn,Southern,10,"(39.23044851, -76.60366027)",27937,26,142
0006 028B 020516,0006,028B,2019 WESTWOOD AVE,02/05/2016,Easterwood,Western,7,"(39.30848697, -76.65074569)",27301,74,25
0019 068D 072218,0019,068D,1524 N MONROE ST,07/22/2018,Easterwood,Western,7,"(39.30589217, -76.64819861)",27301,74,25
1657 072 080107,1657,072,534 N GLOVER ST,08/01/2007,McElderry Park,Southeastern,13,"(39.2977065, -76.58028279)",13987,141,125
2306A020 090918,2306A,020,2401 WESTWOOD AVE,09/09/2018,Coppin Heights/Ash-Co-East,Western,7,"(39.30826549, -76.65632727)",27297,56,29
6277A026 013017,6277A,026,3422 LEVERTON AVE,01/30/2017,Baltimore Highlands,Southeastern,1,"(39.29201149, -76.56840418)",27935,8,129
0291 016 090613,0291,016,1831 RAMSAY ST,09/06/2013,Carrollton Ridge,Southern,9,"(39.28299448, -76.64566488)",27632,36,9
2171 064 070108,2171,064,2508 HOLLINS ST,07/01/2008,Shipley Hill,Southwestern,9,"(39.28692248, -76.65673761)",27632,225,78
1503 020 081007,1503,020,1439 N PATTERSON PARK AVE,08/10/2007,Broadway East,Eastern,13,"(39.30772852, -76.58541795)",26956,23,148
0204 103 022511,0204,103,2244 BOOTH ST,02/25/2011,Boyd-Booth,Southwestern,9,"(39.28749227, -76.65288009)",27632,4,78
3013 007 062419,3013,007,2013 N LONGWOOD ST,06/24/2019,Walbrook,Southwestern,7,"(39.31053769, -76.66735267)",27297,246,43
0258 037 010207,0258,037,2010 MCHENRY ST,01/02/2007,Carrollton Ridge,Southern,9,"(39.28433683, -76.64922962)",27632,36,279
5053 017 070518,5053,017,4632 YORK ROAD,07/05/2018,Kernewood,Northern,4,"(39.34529481, -76.6099296)",14009,128,231
3355A024 020509,3355A,024,2546 OSWEGO AVE,02/05/2009,Greenspring,Northern,6,"(39.33698068, -76.66012206)",27295,96,70
3305A035 113012,3305A,035,2700 CLASSEN AVE,11/30/2012,Central Park Heights,Northwestern,6,"(39.33766003, -76.66554033)",27295,43,70
3020 011 032908,3020,011,2103 N HILTON ST,03/29/2008,Walbrook,Southwestern,7,"(39.31167158, -76.67215121)",27297,246,44
1880 031 112318,1880,031,3012 DILLON ST,11/23/2018,Canton,Southeastern,1,"(39.28147853, -76.57364486)",27935,30,115
3004 014 122010,3004,014,2930 W NORTH AVE,12/20/2010,Walbrook,Southwestern,7,"(39.30936931, -76.66668707)",27297,246,43
5907 047 040519,5907,047,3012 CHESTERFIELD AVE,04/05/2019,Belair-Edison,Notheastern,13,"(39.32441358, -76.56885009)",26956,275,199
0124 007 031209,0124,007,512 N CALHOUN ST,03/12/2009,Harlem Park,Western,9,"(39.29447081, -76.64015754)",27632,106,88
1099B088 120605,1099B,088,1817 HOPE ST,12/06/2005,Oliver,Eastern,12,"(39.3110233, -76.60152677)",13645,180,193
3825 046 091208,3825,046,2453 BRENTWOOD AVE,09/12/2008,Barclay,Eastern,12,"(39.31733379, -76.6101303)",27307,10,11
1474 049 090314,1474,049,1619 N MONTFORD AVE,09/03/2014,Broadway East,Eastern,13,"(39.30960959, -76.58413425)",26956,23,148
0330 024 121517,0330,024,1827 MCCULLOH ST,12/15/2017,Madison Park,Central,11,"(39.30720538, -76.63336776)",27301,144,99
3350E004 102516,3350E,004,3006 OAKFORD AVE,10/25/2016,Parklane,Northern,6,"(39.3415085, -76.66473315)",27295,188,237
0275 099 111808,0275,099,1810 WILHELM ST,11/18/2008,Carrollton Ridge,Southern,9,"(39.28389821, -76.6455679)",27632,36,9
1456 063 090317,1456,063,1732 E LANVALE ST,09/03/2017,Broadway East,Eastern,12,"(39.30984088, -76.5934103)",26956,23,154
3650B023 110218,3650B,023,2720 N HOWARD ST,11/02/2018,Remington,Northern,12,"(39.32130741, -76.62021358)",14006,209,12
2138 024 092608,2138,024,459 BRUNSWICK ST,09/26/2008,Millhill,Southwestern,9,"(39.27933805, -76.65910235)",27632,154,281
0102 029 102818,0102,029,729 N CAREY ST,10/28/2018,Harlem Park,Western,9,"(39.29746116, -76.63833207)",27301,106,53
0097 050 012506,0097,050,703 N FULTON AVE,01/25/2006,Harlem Park,Western,9,"(39.29661304, -76.64531505)",27301,106,88
0388 019 090517,0388,019,29 W NORTH AVE,09/05/2017,Charles North,Central,12,"(39.3106856, -76.61761493)",13642,44,158
4190A038 032717,4190A,038,2917 ERDMAN AVE,03/27/2017,Belair-Edison,Notheastern,13,"(39.32234651, -76.57535104)",26956,275,194
4070A020 032114,4070A,020,2635 GREENMOUNT AVE,03/21/2014,Better Waverly,Northern,14,"(39.32049047, -76.60919723)",27307,16,179
0411 002 091317,0411,002,1202 MYRTLE AVE,09/13/2017,Upton,Central,11,"(39.29830447, -76.63212354)",27301,242,90
